Date,Close,Percent_Change,Year,Month
2022-03-01,66.30000305175781,2.235936178495601,2022,3
2022-04-01,64.56999969482422,-2.6093563760216543,2022,4
2022-05-01,61.33000183105469,-5.017806843863504,2022,5
2022-06-01,58.970001220703125,-3.8480360996117957,2022,6
2022-07-01,57.400001525878906,-2.662370124342184,2022,7
2022-08-01,54.36000061035156,-5.296168701592718,2022,8
2022-09-01,56.119998931884766,3.237671636813877,2022,9
2022-10-01,57.11000061035156,1.7640800023328573,2022,10
2022-11-01,61.31999969482422,7.371737067902551,2022,11
2022-12-01,67.2300033569336,9.63797079504587,2022,12
2023-01-01,66.9800033569336,-0.37185778300904415,2023,1
2023-02-01,62.47999954223633,-6.718428768534002,2023,2
2023-03-01,70.66999816894531,13.108192520348162,2023,3
2023-04-01,73.08000183105469,3.4102217695661574,2023,4
2023-05-01,70.18000030517578,-3.9682559567843056,2023,5
2023-06-01,67.56999969482422,-3.7190091179852502,2023,6
2023-07-01,72.68000030517578,7.562528686444536,2023,7
2023-08-01,73.29000091552734,0.8392963783575125,2023,8
2023-09-01,70.55999755859375,-3.724932900574174,2023,9
2023-10-01,71.04000091552734,0.6802768899403677,2023,10
2023-11-01,74.61000061035156,5.025337343490821,2023,11
2023-12-01,72.18000030517578,-3.256936449935688,2023,12
2024-01-01,70.58999633789062,-2.202831754727963,2024,1
2024-02-01,68.29000091552734,-3.2582455612463535,2024,2
2024-03-01,72.69329833984375,6.447938739615999,2024,3
2024-04-01,78.55999755859375,8.070481533693762,2024,4
2024-05-01,90.5999984741211,15.325867222115619,2024,5
2024-06-01,85.9000015258789,-5.187634688078601,2024,6
2024-07-01,81.83999633789062,-4.726432032443128,2024,7
2024-08-01,83.06999969482422,1.5029367203968524,2024,8
2024-09-01,88.04000091552734,5.982907474372823,2024,9
2024-10-01,94.2699966430664,7.076324014940227,2024,10
2024-11-01,86.91999816894531,-7.79675266346972,2024,11
2024-12-01,83.7300033569336,-3.6700355260148143,2024,12
2025-01-01,90.66999816894531,8.288539990171895,2025,1
2025-02-01,90.45999908447266,-0.2316081269587822,2025,2
2025-03-01,97.5999984741211,7.89299078256791,2025,3
2025-04-01,91.62000274658203,-6.127044898596667,2025,4
2025-05-01,94.3499984741211,2.9796940031645125,2025,5
2025-06-01,102.47000122070312,8.606256362377396,2025,6
2025-07-01,106.9000015258789,4.323216797503804,2025,7
2025-08-01,113.58000183105469,6.24883087916388,2025,8
2025-09-01,136.07000732421875,19.801025823733443,2025,9
2025-10-01,142.47000122070312,4.703456714920939,2025,10
2025-11-01,156.77000427246094,10.037202870241702,2025,11
2025-12-01,215.42999267578125,37.41786490059109,2025,12
2026-01-01,230.3699951171875,6.934968643800077,2026,1
